latitude,longitude,state
38.12218479626333,-77.96983313353157,Virginia
38.98603099280791,-77.39825618575976,Virginia
37.634899638779736,-79.01225888485259,Virginia
37.8547060917148,-79.74348561625636,Virginia
36.68724829206749,-80.62798353096584,Virginia
37.06373083485473,-77.42888985031547,Virginia
37.06068166631651,-78.70634141554339,Virginia
36.92123118773526,-81.93938768049206,Virginia
37.11630465655489,-78.75354926785155,Virginia
36.76716057131159,-82.0090233138013,Virginia
36.81183911453298,-80.5097609738332,Virginia
37.33783617620769,-76.9570153097975,Virginia
36.915993973700076,-78.2137848978396,Virginia
37.46771742008889,-78.84490386971964,Virginia
37.557173121769196,-77.92868423561166,Virginia
36.94743131773765,-79.46270307687625,Virginia
37.368275472157734,-78.65279353204195,Virginia
36.6643346897274,-78.50969312343392,Virginia
39.087754953136006,-78.11078772770466,Virginia
38.16432040291667,-79.46840179562452,Virginia
37.965974383917946,-78.90363727216626,Virginia
38.49847431853606,-78.1688045524133,Virginia
37.583560832084885,-79.80377306271724,Virginia
37.07952730539268,-79.68282097095691,Virginia
37.43437255754849,-76.30317909687655,Virginia
37.138204858998336,-78.12094048073807,Virginia
37.423308078404816,-79.02065162760516,Virginia
38.536425005161675,-78.9046683584773,Virginia
36.60278509249337,-77.2872051498359,Virginia
38.030954476739225,-79.16720061315341,Virginia
39.17341918852971,-78.02083979862088,Virginia
38.12439676824775,-77.8555682269464,Virginia
37.8014241940362,-78.83131544725909,Virginia
36.653650710875205,-80.55177418023408,Virginia
37.1208054278393,-79.93477291395327,Virginia
37.608537813503865,-78.95751863455504,Virginia
37.593184821534926,-78.22950172067276,Virginia
37.81011825117702,-76.6451438005308,Virginia
37.18762967093879,-80.49420485764938,Virginia
38.885745567201276,-78.18717524178416,Virginia
37.12585612247057,-78.08683508346267,Virginia
36.7307397006397,-79.19463127143494,Virginia
36.60854740407944,-82.932642030169,Virginia
37.35565646280119,-80.68551972580923,Virginia
37.281259536870415,-76.80905705500108,Virginia
37.83778507552942,-79.62053641596015,Virginia
37.23206111626672,-79.16716553683025,Virginia
36.98503592728214,-78.66955691884203,Virginia
36.55780247345903,-78.19056797121448,Virginia
36.797570959003586,-79.0821147007169,Virginia
37.02931457655301,-77.31279380054656,Virginia
37.401822976444905,-79.39638031384276,Virginia
38.78994661113977,-77.84664531457359,Virginia
37.18233547100369,-79.72685851540493,Virginia
38.491778970064416,-78.43573741394205,Virginia
38.15468843821694,-79.01343020097963,Virginia
38.75233124923084,-77.67452213346868,Virginia
37.30207334652195,-79.09228211146112,Virginia
37.024816064272756,-79.96135064548744,Virginia
37.129707131235094,-78.64918415201333,Virginia
37.74661537089246,-77.44597622505408,Virginia
36.939277613306125,-78.1587031522249,Virginia
37.23428211495478,-77.80170483464362,Virginia
37.77071995513916,-77.31970095398758,Virginia
37.45578117719206,-76.82557812848307,Virginia
37.45577049451537,-80.00209790425451,Virginia
37.295162082114615,-79.13429615742427,Virginia
36.77742988601949,-77.36510523704382,Virginia
38.25180195804936,-77.5113837760758,Virginia
36.629867711666904,-76.35305972332696,Virginia
37.54746573152645,-77.99299516433824,Virginia
37.2795828617156,-79.4156868835591,Virginia
37.0371850383363,-81.11849599236503,Virginia
37.649553806732555,-76.62274012368462,Virginia
37.193125582498205,-81.73387139950127,Virginia
37.570269191542735,-77.28755345908333,Virginia
37.168822697663344,-82.0337777549743,Virginia
36.55244095036479,-78.47290600008856,Virginia
36.69777890575492,-77.94594141424982,Virginia
36.76420495742512,-79.59514300035211,Virginia
37.84513689464799,-77.7881613134026,Virginia
